lines,lines_name
1025.7,Lyb
1192. ,SiII
1260. ,SiII
1303. ,OI
1336. ,CII
1393.76 ,SiIV
1402.77, SiIV
1526.7,SiII
1533.4,SiII
1548.20,CIV   
1550.77,CIV
1670.8,AlII
1718  ,NIV
1808. ,SiII
1854.7 , AlIII
1862.8,AlIII
1934.5,FeI
1937.3,FeI
2026.1,ZnII
2249.9,FeII
2251.5,FeI
2255.5,NiI
2255.6,NiI
2260.2,FeI
2260.8,FeII
2344,FeII
2375,FeII
2383, FeII
2586.65,FeII
2600.17,FeII
2796.4,MgII
2803.5,MgII
2852,MgI
3472. ,?
3798. ,H10
3833. ,CN
3835.4,H9
3889.1,H8
3933.7,K
3968.5,H
3970.0,Hepsilon
4000.0,Break
4101.7,Hdelta
4226.7,CaI
4304.4,G
4340.5,Hgamma
4383.6,Fe
4861.3,Hbeta
5168.6,MgI
5175.4,MgI
5183.3, MgI
5269. ,Ca+Fe
5331.5,Fe
5401.4,Fe
5889.95,Na
5895.92, Na
8498  ,Ca
8542  ,Ca
8662  ,Ca
4780,bTiO
5522.5,aTiO
5965.4,TiO1
6231. ,TiO2
6379.5,CaH1
6837.5,CaH2
7143.,TiO3
7680.,TiO4
8183. ,NaI1
8195.,NaI2
8500.36,CaT1
8544.44,CaT2
8664.52,CaT3